Year,Gender,CancerType,CasesRate
1990,male,Lung and bronchus,95
1991,male,Lung and bronchus,94.2
1992,male,Lung and bronchus,93.1
1993,male,Lung and bronchus,89.7
1994,male,Lung and bronchus,87.2
1995,male,Lung and bronchus,86.9
1996,male,Lung and bronchus,84.4
1997,male,Lung and bronchus,82.6
1998,male,Lung and bronchus,83.3
1999,male,Lung and bronchus,80.4
2000,male,Lung and bronchus,77.8
2001,male,Lung and bronchus,77.3
2002,male,Lung and bronchus,75.7
2003,male,Lung and bronchus,75.5
2004,male,Lung and bronchus,71.7
2005,male,Lung and bronchus,71.5
2006,male,Lung and bronchus,69.9
2007,male,Lung and bronchus,69.1
2008,male,Lung and bronchus,67.3
2009,male,Lung and bronchus,66.3
2010,male,Lung and bronchus,62.9
2011,male,Lung and bronchus,60.7
2012,male,Lung and bronchus,58.3
1990,female,Lung and bronchus,47.2
1991,female,Lung and bronchus,48.3
1992,female,Lung and bronchus,48.7
1993,female,Lung and bronchus,48.8
1994,female,Lung and bronchus,48.9
1995,female,Lung and bronchus,49.3
1996,female,Lung and bronchus,50.1
1997,female,Lung and bronchus,50.3
1998,female,Lung and bronchus,50.9
1999,female,Lung and bronchus,50.4
2000,female,Lung and bronchus,48.6
2001,female,Lung and bronchus,48.9
2002,female,Lung and bronchus,49.4
2003,female,Lung and bronchus,49.8
2004,female,Lung and bronchus,49
2005,female,Lung and bronchus,50
2006,female,Lung and bronchus,49.2
2007,female,Lung and bronchus,49.3
2008,female,Lung and bronchus,47.8
2009,female,Lung and bronchus,48.3
2010,female,Lung and bronchus,46
2011,female,Lung and bronchus,44.8
2012,female,Lung and bronchus,43.9
1990,male,Colon and rectum,72.3
1991,male,Colon and rectum,71.4
1992,male,Colon and rectum,69
1993,male,Colon and rectum,66.5
1994,male,Colon and rectum,65.3
1995,male,Colon and rectum,63.2
1996,male,Colon and rectum,64.6
1997,male,Colon and rectum,66.4
1998,male,Colon and rectum,66
1999,male,Colon and rectum,64.2
2000,male,Colon and rectum,62.6
2001,male,Colon and rectum,61.8
2002,male,Colon and rectum,60.1
2003,male,Colon and rectum,58.4
2004,male,Colon and rectum,56.8
2005,male,Colon and rectum,54.7
2006,male,Colon and rectum,53.3
2007,male,Colon and rectum,53
2008,male,Colon and rectum,51.7
2009,male,Colon and rectum,49
2010,male,Colon and rectum,46.9
2011,male,Colon and rectum,45.4
2012,male,Colon and rectum,43.5
1990,female,Colon and rectum,50.2
1991,female,Colon and rectum,49.2
1992,female,Colon and rectum,48.1
1993,female,Colon and rectum,47.6
1994,female,Colon and rectum,46.5
1995,female,Colon and rectum,45.9
1996,female,Colon and rectum,46
1997,female,Colon and rectum,47.2
1998,female,Colon and rectum,48.6
1999,female,Colon and rectum,47
2000,female,Colon and rectum,46.1
2001,female,Colon and rectum,45.4
2002,female,Colon and rectum,45.2
2003,female,Colon and rectum,43.5
2004,female,Colon and rectum,42.1
2005,female,Colon and rectum,41.4
2006,female,Colon and rectum,41.2
2007,female,Colon and rectum,40.2
2008,female,Colon and rectum,39.7
2009,female,Colon and rectum,38.1
2010,female,Colon and rectum,36
2011,female,Colon and rectum,34.7
2012,female,Colon and rectum,33.4
1990,male,Prostate,166.9
1991,male,Prostate,210.3
1992,male,Prostate,234.2
1993,male,Prostate,207.1
1994,male,Prostate,177.5
1995,male,Prostate,166.6
1996,male,Prostate,166.8
1997,male,Prostate,171.9
1998,male,Prostate,169.8
1999,male,Prostate,180.3
2000,male,Prostate,178.9
2001,male,Prostate,180.1
2002,male,Prostate,177.9
2003,male,Prostate,165.4
2004,male,Prostate,165.4
2005,male,Prostate,154
2006,male,Prostate,164.5
2007,male,Prostate,167.8
2008,male,Prostate,153.2
2009,male,Prostate,149.9
2010,male,Prostate,143.1
2011,male,Prostate,136.7
2012,male,Prostate,110.4
1990,female,Breast,129.4
1991,female,Breast,130.7
1992,female,Breast,130
1993,female,Breast,127.2
1994,female,Breast,128.8
1995,female,Breast,130.9
1996,female,Breast,132.1
1997,female,Breast,136.1
1998,female,Breast,139
1999,female,Breast,138.5
2000,female,Breast,134.2
2001,female,Breast,135.8
2002,female,Breast,132.8
2003,female,Breast,124.1
2004,female,Breast,124.8
2005,female,Breast,124.4
2006,female,Breast,122.8
2007,female,Breast,126
2008,female,Breast,126.1
2009,female,Breast,127.6
2010,female,Breast,123.3
2011,female,Breast,126.6
2012,female,Breast,125.9
1990,female,Cervix uteri,11.9
1991,female,Cervix uteri,10.8
1992,female,Cervix uteri,11
1993,female,Cervix uteri,10.7
1994,female,Cervix uteri,10.5
1995,female,Cervix uteri,9.9
1996,female,Cervix uteri,10.7
1997,female,Cervix uteri,9.8
1998,female,Cervix uteri,9.8
1999,female,Cervix uteri,9.4
2000,female,Cervix uteri,8.9
2001,female,Cervix uteri,8.8
2002,female,Cervix uteri,8.4
2003,female,Cervix uteri,8.2
2004,female,Cervix uteri,7.9
2005,female,Cervix uteri,7.9
2006,female,Cervix uteri,7.6
2007,female,Cervix uteri,7.5
2008,female,Cervix uteri,7.6
2009,female,Cervix uteri,7.4
2010,female,Cervix uteri,7.2
2011,female,Cervix uteri,7
2012,female,Cervix uteri,6.8
1990,female,Corpus and uterus,24.7
1991,female,Corpus and uterus,24.3
1992,female,Corpus and uterus,24.4
1993,female,Corpus and uterus,23.9
1994,female,Corpus and uterus,24.3
1995,female,Corpus and uterus,24.9
1996,female,Corpus and uterus,24.5
1997,female,Corpus and uterus,25.3
1998,female,Corpus and uterus,24.9
1999,female,Corpus and uterus,24.6
2000,female,Corpus and uterus,23.9
2001,female,Corpus and uterus,24.7
2002,female,Corpus and uterus,24
2003,female,Corpus and uterus,23.6
2004,female,Corpus and uterus,24
2005,female,Corpus and uterus,24.1
2006,female,Corpus and uterus,24.1
2007,female,Corpus and uterus,24.5
2008,female,Corpus and uterus,25.3
2009,female,Corpus and uterus,26.5
2010,female,Corpus and uterus,26.7
2011,female,Corpus and uterus,26.5
2012,female,Corpus and uterus,27
1990,female,Ovary,15.6
1991,female,Ovary,15.3
1992,female,Ovary,14.9
1993,female,Ovary,15.2
1994,female,Ovary,14.4
1995,female,Ovary,14.6
1996,female,Ovary,14
1997,female,Ovary,14.2
1998,female,Ovary,14.1
1999,female,Ovary,14.3
2000,female,Ovary,14.2
2001,female,Ovary,14.2
2002,female,Ovary,13.9
2003,female,Ovary,13.6
2004,female,Ovary,13.2
2005,female,Ovary,13.2
2006,female,Ovary,12.8
2007,female,Ovary,13.1
2008,female,Ovary,13
2009,female,Ovary,12.7
2010,female,Ovary,12.5
2011,female,Ovary,12.1
2012,female,Ovary,12.2
1990,male,Oral cavity and pharynx,18.5
1991,male,Oral cavity and pharynx,17.7
1992,male,Oral cavity and pharynx,18
1993,male,Oral cavity and pharynx,17.7
1994,male,Oral cavity and pharynx,17.2
1995,male,Oral cavity and pharynx,16.5
1996,male,Oral cavity and pharynx,17.2
1997,male,Oral cavity and pharynx,16.8
1998,male,Oral cavity and pharynx,16.4
1999,male,Oral cavity and pharynx,15.4
2000,male,Oral cavity and pharynx,15.8
2001,male,Oral cavity and pharynx,15.1
2002,male,Oral cavity and pharynx,15.7
2003,male,Oral cavity and pharynx,15.2
2004,male,Oral cavity and pharynx,15.3
2005,male,Oral cavity and pharynx,15.1
2006,male,Oral cavity and pharynx,14.9
2007,male,Oral cavity and pharynx,15.4
2008,male,Oral cavity and pharynx,15.8
2009,male,Oral cavity and pharynx,15.9
2010,male,Oral cavity and pharynx,15.5
2011,male,Oral cavity and pharynx,15.9
2012,male,Oral cavity and pharynx,15.4
1990,female,Oral cavity and pharynx,7.3
1991,female,Oral cavity and pharynx,7.3
1992,female,Oral cavity and pharynx,6.8
1993,female,Oral cavity and pharynx,7.2
