State,Year,Enrolees
Alabama,1994,633
Alaska,1994,33
Arizona,1994,578
Arkansas,1994,416
California,1994,3582
Colorado,1994,413
Connecticut,1994,497
Delaware,1994,99
District$of$Columbia,1994,80
Florida,1994,2584
Georgia,1994,819
Hawaii,1994,146
Idaho,1994,146
Illinois,1994,1605
Indiana,1994,805
Iowa,1994,470
Kansas,1994,378
Kentucky,1994,578
Louisiana,1994,572
Maine,1994,198
Maryland,1994,596
Massachusetts,1994,924
Michigan,1994,1331
Minnesota,1994,625
Mississippi,1994,391
Missouri,1994,821
Montana,1994,128
Nebraska,1994,247
Nevada,1994,187
New$Hampshire,1994,152
New$Jersey,1994,1158
New$Mexico,1994,205
New$York,1994,2601
North$Carolina,1994,1001
North$Dakota,1994,101
Ohio,1994,1649
Oklahoma,1994,481
Oregon,1994,469
Pennsylvania,1994,2053
Rhode$Island,1994,166
South$Carolina,1994,497
South$Dakota,1994,114
Tennessee,1994,754
Texas,1994,2029
Utah,1994,182
Vermont,1994,82
Virginia,1994,803
Washington,1994,676
West$Virginia,1994,326
Wisconsin,1994,752
Wyoming,1994,58
Alabama,1995,642
Alaska,1995,34
Arizona,1995,598
Arkansas,1995,422
California,1995,3653
Colorado,1995,425
Connecticut,1995,504
Delaware,1995,102
District$of$Columbia,1995,80
Florida,1995,2633
Georgia,1995,841
Hawaii,1995,151
Idaho,1995,151
Illinois,1995,1620
Indiana,1995,817
Iowa,1995,473
Kansas,1995,382
Kentucky,1995,589
Louisiana,1995,581
Maine,1995,202
Maryland,1995,606
Massachusetts,1995,935
Michigan,1995,1347
Minnesota,1995,631
Mississippi,1995,398
Missouri,1995,827
Montana,1995,130
Nebraska,1995,250
Nevada,1995,197
New$Hampshire,1995,155
New$Jersey,1995,1171
New$Mexico,1995,211
New$York,1995,2623
North$Carolina,1995,1025
North$Dakota,1995,102
Ohio,1995,1670
Oklahoma,1995,487
Oregon,1995,475
Pennsylvania,1995,2072
Rhode$Island,1995,167
South$Carolina,1995,510
South$Dakota,1995,116
Tennessee,1995,770
Texas,1995,2079
Utah,1995,187
Vermont,1995,83
Virginia,1995,824
Washington,1995,691
West$Virginia,1995,330
Wisconsin,1995,758
Wyoming,1995,60
Alabama,1996,654
Alaska,1996,36
Arizona,1996,617
Arkansas,1996,427
California,1996,3724
Colorado,1996,435
Connecticut,1996,507
Delaware,1996,106
District$of$Columbia,1996,78
Florida,1996,2693
Georgia,1996,860
Hawaii,1996,154
Idaho,1996,155
Illinois,1996,1626
Indiana,1996,823
Iowa,1996,474
Kansas,1996,385
Kentucky,1996,598
Louisiana,1996,586
Maine,1996,206
Maryland,1996,615
Massachusetts,1996,946
Michigan,1996,1359
Minnesota,1996,636
Mississippi,1996,404
Missouri,1996,837
Montana,1996,131
Nebraska,1996,251
Nevada,1996,209
New$Hampshire,1996,158
New$Jersey,1996,1182
New$Mexico,1996,217
New$York,1996,2638
North$Carolina,1996,1049
North$Dakota,1996,102
Ohio,1996,1683
Oklahoma,1996,492
Oregon,1996,481
Pennsylvania,1996,2080
Rhode$Island,1996,168
South$Carolina,1996,523
South$Dakota,1996,117
Tennessee,1996,784
Texas,1996,2119
Utah,1996,193
Vermont,1996,85
Virginia,1996,840
Washington,1996,702
West$Virginia,1996,332
Wisconsin,1996,763
Wyoming,1996,61
Alabama,1997,661
Alaska,1997,37
Arizona,1997,633
Arkansas,1997,429
California,1997,3768
Colorado,1997,445
Connecticut,1997,510
Delaware,1997,108
District$of$Columbia,1997,77
Florida,1997,2732
Georgia,1997,876
Hawaii,1997,158
Idaho,1997,158
Illinois,1997,1625
Indiana,1997,827
Iowa,1997,477
Kansas,1997,385
Kentucky,1997,601
Louisiana,1997,591
Maine,1997,208
Maryland,1997,621
Massachusetts,1997,949
Michigan,1997,1364
Minnesota,1997,639
Mississippi,1997,408
Missouri,1997,845
Montana,1997,132
Nebraska,1997,251
Nevada,1997,219
New$Hampshire,1997,160
New$Jersey,1997,1191
New$Mexico,1997,221
New$York,1997,2646
North$Carolina,1997,1071
North$Dakota,1997,102
Ohio,1997,1691
Oklahoma,1997,496
Oregon,1997,484
Pennsylvania,1997,2080
Rhode$Island,1997,168
South$Carolina,1997,535
South$Dakota,1997,118
Tennessee,1997,793
Texas,1997,2158
Utah,1997,198
Vermont,1997,86
Virginia,1997,854
Washington,1997,709
West$Virginia,1997,333
Wisconsin,1997,766
Wyoming,1997,62
Alabama,1998,670
Alaska,1998,39
Arizona,1998,649
Arkansas,1998,429
California,1998,3812
Colorado,1998,455
Connecticut,1998,511
Delaware,1998,111
District$of$Columbia,1998,77
Florida,1998,2768
Georgia,1998,891
Hawaii,1998,161
Idaho,1998,161
Illinois,1998,1626
Indiana,1998,834
Iowa,1998,478
Kansas,1998,385
Kentucky,1998,606
Louisiana,1998,594
Maine,1998,211
Maryland,1998,630
Massachusetts,1998,950
Michigan,1998,1378
Minnesota,1998,643
Mississippi,1998,411
Missouri,1998,847
Montana,1998,133
Nebraska,1998,252
Nevada,1998,225
New$Hampshire,1998,164
New$Jersey,1998,1197
New$Mexico,1998,225
New$York,1998,2661
North$Carolina,1998,1091
North$Dakota,1998,102
Ohio,1998,1696
Oklahoma,1998,500
Oregon,1998,488
Pennsylvania,1998,2084
Rhode$Island,1998,169
South$Carolina,1998,545
South$Dakota,1998,118
Tennessee,1998,805
Texas,1998,2194
Utah,1998,201
Vermont,1998,87
Virginia,1998,867
Washington,1998,717
West$Virginia,1998,335
Wisconsin,1998,768
Wyoming,1998,64
Alabama,1999,678
Alaska,1999,40
Arizona,1999,661
Arkansas,1999,431
California,1999,3861
Colorado,1999,462
Connecticut,1999,515
Delaware,1999,112
District$of$Columbia,1999,76
Florida,1999,2793
Georgia,1999,910
Hawaii,1999,164
Idaho,1999,163
Illinois,1999,1622
Indiana,1999,838
Iowa,1999,475
Kansas,1999,385
Kentucky,1999,612
Louisiana,1999,595
Maine,1999,214
Maryland,1999,635
Massachusetts,1999,952
Michigan,1999,1385
Minnesota,1999,647
Mississippi,1999,414
Missouri,1999,852
Montana,1999,135
Nebraska,1999,253
